Gold Question	Modified Question	User Score 1	User Score 2
What color is the flower?	What color is the ?	1	1
What color is the door?	What color is the ?	1	1
Does this dog belong to someone?	Does this dog belong to ?	1	1
Are there more women than men?	women men?	1	1
Is there any meat?	Is there any ?	1	1
Are the trains moving?	Does  the trains moving?	5	5
What is he holding under his arm?	What is he holding under his ?	3	3
How close is the player to base?	What is  close is the player to base?	3	3
What is trailing behind the planes?	What is trailing behind the ?	2	2
What is the pink animal on the cake?	What is the pink animal on the ?	3	3
What color nose does the dog have?	What color nose dog have?	5	5
Is it raining?	Is it ?	1	1
How many different colors are on the plane?	many different colors plane?	3	3
What is the red fruit?	Which  the red fruit?	3	3
Is the door open?	door open?	5	5
Is there any broccoli in the picture?	What time  any broccoli in the picture?	3	3
What material is the couch made of?	What brand t material is the couch made of?	5	5
Does that underpass look too low for the truck?	What are  that underpass look too low for the truck?	4	4
Are they using any flotation devices?	using flotation devices?	3	3
What color is the traffic light?	What color is the traffic ?	3	4
Is this an Asian or African elephant?	Is the this an Asian or African elephant?	5	5
How many benches are there?	many benches there?	4	4
Why are there bars on the transom?	Is the  are there bars on the transom?	4	4
What's behind the boy on the wall?	What's behind boy wall?	3	3
What is in the polythene?	What is in the ?	1	1
Can you see a cell phone?	see cell phone?	4	4
What is the person who is in the air standing on?	What is the person who is in the air standing ?	3	3
Are there different types of flowers in the vase?	different types flowers vase?	4	4
What type of vehicle is in the lead of the convoy?	What type vehicle lead convoy?	4	4
How many types of apples are there?	How many types of apples are ?	3	3
Are they getting ready to shoot fireworks?	getting ready shoot fireworks?	4	4
If the zebra died where would it's energy go instantly?	If the zebra died where would it's energy go ?	5	5
Why is he wearing a helmet?	Why is he wearing a ?	3	3
Is the utensil touching any food?	Is the utensil touching any ?	3	3
Is this picture taken on land?	What are this picture taken on land?	5	5
What game is being played?	What game played?	4	4
What kind of animal is this?	What kind animal this?	4	4
Which direction are the horses running?	direction horses running?	4	4
Is the boy about to catch the ball?	What are  boy about to catch the ball?	3	3
What color are the boys skis?	What color boys skis?	4	4
What color is the truck?	What color is the ?	3	3
What is the name on the side of the bus?	What kind  the name on the side of the bus?	4	4
How many bags are there?	How many bags are ?	4	4
How many people are in the photo?	many people photo?	4	4
What color is the flower?	What color flower?	5	5
How old is the stop sign?	How old is the stop ?	4	4
Are there any rocks on the ground?	What sport  there any rocks on the ground?	3	3
Is this a cake?	What does this a cake?	3	3
Does the baby zebra want to come over?	Does the baby zebra want to come ?	4	4
What room is the lady in?	What color t room is the lady in?	5	5
Is he wearing a tie?	Is he wearing a ?	3	3
Is there any grass?	grass?	3	3
Does the cat look friendly?	cat look friendly?	4	5
Is it sunny?	Is it ?	1	1
How many sections of the bookshelf are there?	many sections bookshelf there?	4	4
Is there a calculator shown?	Where  a calculator shown?	3	4
Is the cat eating the banana?	cat eating banana?	4	4
What does the black and white sign say?	What black white sign say?	5	5
What is the woman sitting on?	What sport  the woman sitting on?	3	3
What are the skiers getting ready to do?	What are the skiers getting ready to ?	4	4
Is there advertising signs on the stands?	advertising signs stands?	3	3
Is there water in the bowl?	Is there water in the ?	2	2
Is this picture taken in autumn?	picture taken autumn?	5	4
What gender is the person in the middle?	What gender person middle?	5	4
Are the men's faces visible?	men's faces visible?	5	5
