Gold Question	Modified Question	User Score 1	User Score 2
what does Jeremy Piven act in ?	what does act in ?	2	2
what does Patricia Charbonneau star in ?	what does star in ?	1	2
what films did Shaquille O'Neal act in ?	what films did act in ?	2	2
what did Guillaume Gallienne direct ?	what did direct ?	2	2
what does Amanda Peterson appear in ?	what does appear in ?	2	2
Floria Sigismondi directed which films ?	directed which films ?	2	2
what films did Taika Waititi direct ?	what films did direct ?	2	2
what does Alice Brady appear in ?	what does appear in ?	2	2
what was Dave Green the director of ?	what Dave Green ?	3	2
which movie was Greg MacGillivray the director for ?	when was Greg MacGillivray the director for ?	4	3
what films did Peter Schønau Fog direct ?	what films did direct ?	2	2
Joël Séria directed which movies ?	Joël Séria which movies ?	3	4
which films did Jerome Robbins direct ?	which films did direct ?	2	2
which films did Lee H. Katzin direct ?	which films did direct ?	2	2
which films did Anubhav Sinha direct ?	which films did direct ?	2	2
what does Jared Padalecki appear in ?	what does appear in ?	2	2
what does Tom Burke act in ?	what does act in ?	2	2
Marie Avgeropoulos appears in which movies ?	appears in which movies ?	2	1
what movies did Christopher Collet act in ?	what movies did act in ?	2	2
can you name a film directed by Nikolai Müllerschön ?	can you name a film Nikolai Müllerschön ?	3	3
what movies did Aditya Datt direct ?	what movies did Aditya Datt ?	3	4
what does Amanda Wyss act in ?	what does Amanda Wyss in ?	3	3
what does Spencer Treat Clark appear in ?	what does Spencer Treat Clark ?	3	1
what does Vince Colosimo act in ?	what does Vince Colosimo ?	2	2
what is a film directed by Antonio Campos ?	what a film Antonio Campos ?	3	3
what movies did Noah Bean star in ?	what movies did Noah Bean ?	3	2
what did Jane Wagner direct ?	what did Jane Wagner ?	3	3
what does Kathleen Ryan act in ?	what does act in ?	2	2
what was John Lemont the director of ?	what was John Lemont the of ?	3	3
which movie was Takao Okawara the director for ?	which movie was the director for ?	2	2
what does Robert Williams star in ?	what does star in ?	2	1
Randall Miller was the director of which movies ?	was the director of which movies ?	2	2
what films did Jun Tazaki star in ?	what films did star in ?	2	2
Stuart Cooper was the director of which films ?	Stuart Cooper was the director of Why ?	5	3
what does Nancy Travis appear in ?	Why Nancy Travis appear in ?	4	3
Rémy Girard appears in which movies ?	Rémy Girard appears in Why ?	5	3
what was Rich Christiano the director of ?	what was the director of ?	2	2
David Mingay was the director of which films ?	was the director of which films ?	2	2
Peter Madsen directed which films ?	Peter Madsen which films ?	3	3
Leslie Iwerks directed which movies ?	directed which movies ?	3	2
what does Amza Pellea act in ?	what does act in ?	2	2
what films did Carol Kane star in ?	what films did star in ?	2	2
what films did Buzzy Linhart star in ?	what films did star in ?	2	2
what does Faye Emerson act in ?	what does act in ?	2	2
what films does David Keith appear in ?	what films does appear in ?	2	2
what movies did Marilyn Manning star in ?	what movies did star in ?	2	2
what movies did Harry Earles star in ?	what movies did star in ?	2	2
what films did Joe Silver act in ?	what films did act in ?	2	2
what films does Juliet Prowse appear in ?	what films does appear in ?	2	2
Hoji Fortuna appears in which movies ?	appears in which movies ?	2	2
what does Mac Davis star in ?	what does Mac Davis in ?	3	3
Lee Unkrich was the director of which films ?	Lee Unkrich was the director of how ?	5	4
what does Kate del Castillo appear in ?	what does Kate del Castillo in ?	3	3
what films did Minoru Takashima star in ?	what films did Minoru Takashima in ?	3	3
what movies did Jennifer Westfeldt act in ?	what movies did Jennifer Westfeldt in ?	4	3
what does Peter Riegert appear in ?	how Peter Riegert appear in ?	4	3
Lajos Koltai was the director of which movies ?	Lajos Koltai was the of which movies ?	3	4
what films does John Heard appear in ?	what films does appear in ?	2	2
Mark A. Lewis directed which movies ?	directed which movies ?	2	2
can you name a film directed by Steve Oedekerk ?	can you name a film directed by ?	3	2
what is a film directed by Tarik Saleh ?	what is a film directed by ?	2	2
Irwin Allen was the director of which movies ?	was the director of which movies ?	2	2
Masaaki Yuasa was the director on which movies ?	was the director on which movies ?	3	2
Giulio Petroni was the director of which films ?	was the director of which films ?	2	2
what movies did Jackie Earle Haley star in ?	what movies did star in ?	3	2
what films does Kay Medford appear in ?	what films does Kay Medford ?	3	3
what films did Lucky McKee star in ?	what films did star in ?	2	2
what is a film directed by Tarik Saleh ?	what is a film directed by ?	3	2
which films did Coky Giedroyc direct ?	which films did direct ?	2	2
Marie Avgeropoulos appears in which movies ?	appears in which movies ?	2	2
what movies did Alan Marshal act in ?	what movies did act in ?	2	2
what movies did Gwendolyn Laster act in ?	what movies did act in ?	2	2
what films did Fabrício Boliveira star in ?	what films did star in ?	2	2
what films does Courtney Love appear in ?	what films does appear in ?	2	2
Mick Jackson directed which movies ?	directed which movies ?	2	2
which films did Stephen Tolkin direct ?	which films did direct ?	2	2
Clare Kilner was the director on which movies ?	Clare Kilner which movies ?	3	3
what movies did George Wendt star in ?	what movies did star in ?	2	2
Roger Moore appears in which movies ?	appears in which movies ?	2	2
what movies did Martín Adjemián act in ?	what movies did act in ?	2	2
what does Mary Stuart Masterson appear in ?	what does appear in ?	2	2
Alan Bridges was the director on which movies ?	was the director on which movies ?	2	2
what does Alex Descas act in ?	what does act in ?	2	2
what does Brent Gorski star in ?	what does star in ?	2	2
what movies was Margaret Cho an actor in ?	what movies was an actor in ?	2	2
what does Paula Jai Parker star in ?	what does Paula Jai Parker ?	3	3
what films does Dick Foran appear in ?	what films does Dick Foran ?	3	3
what films did Shaquille O'Neal act in ?	what films did Shaquille O'Neal ?	3	3
what films does Ryan Gosling appear in ?	what films does appear in ?	2	2
what does Elisha Cuthbert star in ?	what does star in ?	2	2
what films did Laurel Holloman act in ?	what films did act in ?	2	2
what did Tom McLoughlin direct ?	what did Tom McLoughlin ?	3	3
Lisa Langseth directed which films ?	directed which films ?	2	2
what films did Christina Ricci act in ?	what films did act in ?	2	2
what movies did Yvonne Clech star in ?	what movies did Yvonne Clech ?	3	3
what films did Michael Rosenbaum act in ?	what films did Michael Rosenbaum ?	3	3
what films did Jenny Wright act in ?	When did Jenny Wright act in ?	4	3
Vincenzo Natali was the director of which movies ?	Vincenzo Natali which movies ?	3	3
what films did Tracy Pollan act in ?	what films did Tracy Pollan ?	3	3
what films did Rumi Hiiragi star in ?	Which did Rumi Hiiragi star in ?	4	4
what movies was Marianne Faithfull an actor in ?	When was Marianne Faithfull an actor in ?	4	3
which movies did Chris Roberts direct ?	Which did Chris Roberts direct ?	5	4
what does Jason Cope star in ?	What Jason Cope star in ?	4	4
what films did Joanna Pacula act in ?	Why did Joanna Pacula act in ?	3	3
what does Daniel Gillies appear in ?	Why Daniel Gillies appear in ?	4	3
what does Richard White act in ?	what does Richard White ?	2	2
what films did Melvin Van Peebles star in ?	whose did Melvin Van Peebles star in ?	4	4
what does Morgan Spurlock star in ?	how Morgan Spurlock star in ?	2	2
what movies was Sally Yeh an actor in ?	which was Sally Yeh an actor in ?	4	3
what films did Mary Gross act in ?	which did Mary Gross act in ?	4	4
what films did Omri Katz act in ?	how did Omri Katz act in ?	3	2
what was Stephen Norrington the director of ?	what Stephen Norrington director ?	4	4
what was Reinhard Klooss the director of ?	what Reinhard Klooss ?	3	3
what does Pat Buchanan act in ?	what does Pat Buchanan ?	3	3
what does Chevy Chase appear in ?	what does Chevy Chase ?	3	3
what does Peter Forbes appear in ?	Why Peter Forbes appear in ?	4	3
what does Wally Cox appear in ?	what Wally Cox appear ?	4	4
Stanley Kramer was the director of which movies ?	was the director of which movies ?	2	2
H. Bruce Humberstone was the director of which movies ?	H. Bruce Humberstone was the of which movies ?	3	3
what was Naomi Foner the director of ?	what was Naomi Foner the of ?	2	3
which movie was Shinji Aramaki the director for ?	which movie was Shinji Aramaki the for ?	3	3
what does Elisabetta Pozzi appear in ?	where Elisabetta Pozzi appear in ?	3	3
what does Branko Tomovic appear in ?	what Branko Tomovic appear ?	4	4
what does Hiromi Nagasaku star in ?	what Hiromi Nagasaku star ?	3	4
what does Margaret Field appear in ?	what Margaret Field appear ?	4	4
which films did Bo Widerberg direct ?	When did Bo Widerberg direct ?	2	2
Ed Decter directed which films ?	Ed Decter directed When ?	5	4
Peter Berg appears in which movies ?	Peter Berg appears in What ?	5	5
Ewan McGregor was the director of which films ?	Ewan McGregor was the director of Where ?	4	5
what films did Pat Derby star in ?	When did Pat Derby star in ?	3	3
which films did Jim Rash direct ?	When did Jim Rash direct ?	3	3
what does Chase Ellison star in ?	When Chase Ellison star in ?	4	3
what does Noah Hathaway star in ?	what Noah Hathaway star ?	2	4
which films did Ida Lupino direct ?	Which did Ida Lupino direct ?	5	4
what movies did Tom Lycos star in ?	Which did Tom Lycos star in ?	4	4
what movies was Nanette Newman an actor in ?	what movies Nanette Newman actor ?	5	5
what does Cliff Robertson appear in ?	what does Cliff Robertson ?	3	3
Mario Silva appears in which movies ?	appears in which movies ?	2	2
John Conor Brooke appears in which movies ?	appears in which movies ?	1	1
what does Erika Christensen appear in ?	what Erika Christensen appear ?	4	4
what films did Emile Hirsch star in ?	what films did Emile Hirsch ?	3	3
